QuestionText,CognitiveLevel,Category,Intent
هل كان لأرسطو تأثير كبير على الفلسفة الغربية؟,معرفة,الثقافة,اختيار
هل يمكن للإنسان أن يعيش بدون كبد؟,معرفة,الصحة,اختيار
هل يعتبر الأوكسجين ضرورياً لعملية التنفس؟,معرفة,الصحة,اختيار
هل يمكن للإنسان أن يتذوق الطعام بدون لسان؟,معرفة,الصحة,اختيار
هل يمكن للإنسان أن يعيش بدون غذاء لفترة طويلة؟,معرفة,الصحة,اختيار
هل تُستخدم الفيتامينات في تعزيز الصحة العامة؟,معرفة,الصحة,اختيار
هل يمكن للإنسان أن يتنفس في الفضاء بدون معدات؟,معرفة,التعليم,اختيار
هل يمكن للإنسان أن يرى الأشياء بدون الضوء؟,معرفة,التعليم,اختيار
هل يتناول الدجاج نوعًا معينًا من الطعام؟,معرفة,الصحة,اختيار
هل لدى الدجاج نظام غذائي محدد؟,معرفة,الصحة,اختيار
هل كانت جهود المرأة من أجل المساواة في الحقوق أثناء الحركة النسائية ناجحة؟,فهم,السياسة والقانون,اختيار
هل هناك علاقة بين الخوف أو الاضطرابات النفسية والشيب؟,فهم,الصحة,اختيار
هل كانت الأشرطة قابلة للاستعاده والمعالجة دون تدمير المشروعية التاريخية أم أن بعض جوانب الأشرطة فقدت مشروعيتها؟,معرفة,التكنولوجيا,اختيار
هل كانت الأشرطة المستعادة قابلة لإضافة لون إليها لتحسين الصورة أم أنها بقيت بالأبيض والأسود؟,معرفة,التكنولوجيا,اختيار
هل انضمّت النرويج بالنهاية إلى الاتحاد الأوروبي سنة 1972؟,معرفة,السياسة والقانون,اختيار
هل حقق الأردن الاكتفاء الذاتي في زيت الزيتون؟,فهم,السياسة والقانون,اختيار
هل تعد الطماطم من أهم صادرات الأردن الزراعية؟,معرفة,السياسة والقانون,اختيار
هل تم قبول فكرة الصرفة بشكل واسع بين العلماء المسلمين؟,فهم,الدين,اختيار
هل يمكن لأي شخص أن يأتي بمثل القرآن وفقًا للمعتقد الإسلامي؟,فهم,الدين,اختيار
هل قبل العلماء المسلمون فكرة الصرفة بالإجماع؟,فهم,الدين,اختيار
هل يمكن للمواد المسرطنة أن تؤدي إلى موت الخلايا؟,معرفة,الصحة,اختيار
هل ارتفعت قيمة الصادرات الزراعية في عام 2006؟,معرفة,السياسة والقانون,اختيار
هل يمتلك الأردن حصة فردية من موارد المياه المتجددة تعد من أدنى الحصص في العالم؟,فهم,السياسة والقانون,اختيار
هل تعرض التاريخ الإسلامي لغزو فكري؟,معرفة,التاريخ,اختيار
هل كانت الجزيرة العربية قبل ظهور الإسلام مجموعة من القبائل العربية؟,فهم,التاريخ,اختيار
هل يشمل التاريخ الإسلامي الفترة الأموية؟,معرفة,التاريخ,اختيار
هل تختلف وجهات نظر المحللين في تفسير التاريخ الإسلامي؟,فهم,التاريخ,اختيار
هل جمع زيد بن ثابت القرآن في عهد أبي بكر؟,معرفة,التاريخ,اختيار
هل تمت توسعة المسجد النبوي في عهد عثمان؟,معرفة,التاريخ,اختيار
هل جمع زيد بن ثابت القرآن في عهد أبي بكر؟,معرفة,التاريخ,اختيار
هل تمت توسعة المسجد النبوي في عهد عثمان؟,معرفة,التاريخ,اختيار
هل قاتل المسلمون ضد المرتدين في عهد أبي بكر؟,معرفة,التاريخ,اختيار
هل استطاع المسلمون فتح القدس؟,معرفة,التاريخ,اختيار
هل قام زيد بن ثابت بجمع القرآن في عهد أبي بكر؟,معرفة,التاريخ,اختيار
هل استطاع المسلمون فتح القدس؟,معرفة,التاريخ,اختيار
هل كانت خلافة عبد الملك بن مروان مليئة بالفتن والانقسامات؟,معرفة,التاريخ,اختيار
هل أسس الفاطميون الجامع الأزهر؟,معرفة,التاريخ,اختيار
هل البوسنة والهرسك عضوا في منظمة المؤتمر الإسلامي؟,معرفة,السياسة والقانون,اختيار
هل خضعت معظم أنحاء العالم الإسلامي للاحتلال الأوروبي؟,فهم,التاريخ,اختيار
هل يمكن أن يكون الذكاء الاصطناعي خطيرًا إذا لم يتم التحكم فيه؟,تطبيق,التكنولوجيا,اختيار
الهمزة: هل تتوقع أن يتغير التعليم التقليدي في المستقبل؟,تحليل,التعليم,اختيار
هل يمكن أن تؤدي الطاقة المتجددة إلى استبدال الوقود الأحفوري بالكامل؟,تحليل,البيئة والطاقة,اختيار
هل يمكن أن يحل التعليم عن بُعد محل التعليم التقليدي؟,تحليل,التعليم,اختيار
هل يمكن أن يحل الذكاء الاصطناعي محل الإنسان في جميع الوظائف؟,تحليل,التكنولوجيا,اختيار
هل يمكن للذكاء الاصطناعي تحسين الرعاية الصحية؟,تحليل,الصحة,اختيار
هل يمكن أن يؤدي الابتكار إلى تحسين الاقتصاد الوطني؟,تحليل,الاقتصاد والعمل,اختيار
هل يمكن للتكنولوجيا أن تحل جميع مشاكل الإنسان؟,تحليل,التكنولوجيا,اختيار
هل يمكن أن يحسن استخدام التكنولوجيا الإنتاجية في العمل؟,تقييم,التكنولوجيا,اختيار
هل يمكن للروبوتات أن تحل محل البشر في مجالات العمل الإبداعية؟,تحليل,التكنولوجيا,اختيار
هل يمكن أن تسهم الفنون في تعزيز الحوار بين الثقافات؟,تقييم,الثقافة,اختيار
هل يمكن للذكاء الاصطناعي أن يحل محل البشر في جميع الوظائف؟,تحليل,التكنولوجيا,اختيار
هل يمكن للبشرية التعايش مع الذكاء الاصطناعي بدون مشاكل؟,تحليل,التكنولوجيا,اختيار
هل يمكن الاستغناء عن الطاقة النووية في المستقبل؟,تحليل,البيئة والطاقة,اختيار
هل يمكن تحقيق التوازن بين التطور الصناعي والحفاظ على البيئة؟,تحليل,البيئة والطاقة,اختيار
هل يمكن للذكاء الاصطناعي أن يحل محل البشر في الوظائف؟,تحليل,التكنولوجيا,اختيار
هل يمكن الاعتماد على الطاقة الشمسية كمصدر رئيسي للطاقة؟,تحليل,البيئة والطاقة,اختيار
هل يمكن تحقيق الاستدامة البيئية بدون تكنولوجيا حديثة؟,تحليل,البيئة والطاقة,اختيار
هل يمكن استخدام الطاقة النووية بشكل آمن؟,تحليل,البيئة والطاقة,اختيار
ما الذي يتجمد أسرع الماء الساخن أم البارد؟,معرفة,العلوم,اختيار
استنتج بعض المخاطر التي يواجهها القطاع الزراعي في الأردن.,فهم,السياسة والقانون,استدلال
استنتج التحديات التي يواجهها الأردن في معادلة السكان وموارد المياه.,معرفة,السياسة والقانون,استدلال
استنتج بعض الوسائل الغربية لتشويه التاريخ الإسلامي.,فهم,التاريخ,استدلال
استنتج الأهمية التي يمثلها التاريخ الإسلامي للمسلمين.,فهم,التاريخ,استدلال
استنتج الأهمية الاقتصادية لفتح بلاد فارس.,معرفة,التاريخ,استدلال
استنتج الأهمية الاقتصادية لفتح بلاد فارس.,فهم,التاريخ,استدلال
استنتج لماذا رفض أبو الحسن الرماني فكرة الصرفة.,فهم,الدين,استدلال
استنتج النتيجة المتوقعة للتغيرات المناخية على النظم البيئية.,فهم,الصحة,استدلال
"استنتج القاعدة العامة لسلسلة فيبوناتشي عندما n يكون أكبر من 2، إذا كان F(n) = F(n-1) + F(n-2)، و F(1) = 1، و F(2) = 1.",فهم,التعليم,استدلال
"استنتج العلاقة بين الكتلة والتسارع استنادًا إلى القانون الثاني لنيوتن في الحركة، الذي ينص على F = ma.",فهم,التعليم,استدلال
استنتج ماذا يمكن أن يحدث إذا استمر الاحترار العالمي بالارتفاع.,فهم,البيئة والطاقة,استدلال
استنتج العواقب المحتملة لارتفاع مستوى البحار بسبب التغير المناخي.,فهم,البيئة والطاقة,استدلال
استنتج ماذا سيحدث إذا توقفت الأمطار في منطقة زراعية لعدة سنوات.,فهم,البيئة والطاقة,استدلال
استنتج تأثير زيادة استخدام السيارات الكهربائية على البيئة.,فهم,البيئة والطاقة,استدلال
استنتج تأثير الانقراض الجماعي على التنوع البيولوجي.,فهم,البيئة والطاقة,استدلال
استنتج ماذا يمكن أن يحدث إذا استمرت معدلات البطالة في الارتفاع.,فهم,الاقتصاد والعمل,استدلال
استنتج التأثير المحتمل لنمو التجارة الإلكترونية على المتاجر التقليدية.,فهم,الاقتصاد والعمل,استدلال
استنتج التأثير المحتمل لزيادة استخدام السيارات الكهربائية على استهلاك الوقود الأحفوري.,فهم,البيئة والطاقة,استدلال
استنتج التأثير المحتمل لارتفاع درجة حرارة الأرض على التنوع البيولوجي.,فهم,البيئة والطاقة,استدلال
استنتج كيف يؤثر الاحتباس الحراري على مستويات البحار.,فهم,البيئة والطاقة,استدلال
استنتج تأثيرات التغير المناخي على الزراعة.,فهم,البيئة والطاقة,استدلال
استنتج كيف يؤثر التلوث الضوئي على الكائنات الحية.,فهم,البيئة والطاقة,استدلال
استنتج كيف يمكن أن تؤثر تغييرات المناخ على النظم البيئية البحرية.,فهم,البيئة والطاقة,استدلال
استنتج كيف يؤثر التوسع العمراني على الحياة البرية.,فهم,البيئة والطاقة,استدلال
استنتج كيف يمكن للتكنولوجيا أن تحسن من الرعاية الصحية.,فهم,الصحة,استدلال
استنتج أثر التعليم على التنمية الاقتصادية.,فهم,التعليم,استدلال
"اعرب كلمة ""الدرس"" في الجملة التالية: ""المعلم يشرح الدرس.""",تطبيق,التعليم,إعراب
"اعرب الجملة الآتية: ""أنا أقرأ كتابًا ممتعًا"".",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""الطالبُ مجتهدٌ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""الأمُ تهتمُ بأطفالِها.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""الكتابُ على الطاولةِ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""يذهبُ الطالبُ إلى المدرسةِ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""السماءُ صافيةٌ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""الطائرةُ تقلعُ في الصباحِ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""القلمُ جديدٌ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""المعلمُ يشرحُ الدرسَ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""الأطفالُ يلعبونَ في الحديقةِ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""السيارةُ سريعةٌ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""الطيورُ تغني في الصباحِ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""الكتابُ مفيدٌ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""البحرُ هادئٌ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""الشمسُ مشرقةٌ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""العصفورُ يطيرُ في السماءِ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""البستانُ جميلٌ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""القطةُ تلعبُ بالكرةِ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""الوردةُ حمراءٌ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""الماءُ باردٌ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""الأشجارُ خضراءٌ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""الطفلُ يضحكُ.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""الأمُ تهتمُ بأطفالِها.""",تطبيق,التعليم,إعراب
"اعربْ الجملةَ التاليةَ: ""المعلمُ يشرحُ الدرسَ.""",تطبيق,التعليم,إعراب
"اعربْ الجملة التالية: ""أكلَ الولدُ التفاحةَ.""",تطبيق,التعليم,إعراب
"اعربْ الجملة التالية: ""يذهبُ الطالبُ إلى المدرسةِ.""",تطبيق,التعليم,إعراب
"اعربْ الجملة التالية: ""قرأتُ الكتابَ بسرعةٍ.""",تطبيق,التعليم,إعراب
"اعربْ الجملة التالية: ""يعملُ المهندسُ في المشروعِ.""",تطبيق,التعليم,إعراب
"اعرب الجملة التالية: ""نجحَ الطالبُ بفضلِ جهدهِ.""",تطبيق,التعليم,إعراب
"اعرب الجملة التالية: ""العلم نور.""",تطبيق,الثقافة,إعراب
"اعرب الجملة: ""الكتاب مفيد للطلاب.""",تطبيق,الثقافة,إعراب
"اعرب الجملة: ""النجاح في العمل يعتمد على التعاون.""",تطبيق,الثقافة,إعراب
"اعرب الجملة التالية: ""القراءة مفيدة للعقل.""",تطبيق,الثقافة,إعراب
"اعرب الجملة: ""الطالب المجتهد يحقق النجاح.""",تطبيق,الثقافة,إعراب
"اعرب الجملة: ""المعلم يشرح الدرس بوضوح.""",تطبيق,الثقافة,إعراب
"اعرب الجملة التالية: ""العلم نور.""",تطبيق,الثقافة,إعراب
"اعرب الجملة: ""العلماء يدرسون الظواهر الطبيعية.""",تطبيق,الثقافة,إعراب
"اعرب الجملة التالية: ""الطلاب يحضرون الدروس بانتظام.""",تطبيق,الثقافة,إعراب
"اعرب الجملة التالية: ""الأطفال يلعبون في الحديقة.""",تطبيق,الثقافة,إعراب
"اعرب جملة ""الطالب مجتهد.""",فهم,الثقافة,إعراب
"اعرب جملة ""الطالب ناجح.""",فهم,الثقافة,إعراب
"اعرب جملة ""الكتاب مفيد.""",فهم,الثقافة,إعراب
"اعرب جملة ""العلم نور.""",فهم,الثقافة,إعراب
ما هي الأوقات المثلى لبدء مشروع تجاري صغير؟,تطبيق,الاقتصاد والعمل,اقتراح
أيان يجب على الشركات الناشئة مراجعة استراتيجياتها المالية؟,تطبيق,الاقتصاد والعمل,اقتراح
أيان يُفضل البدء في تحليل البيانات المالية للشركات الكبرى؟,تطبيق,الاقتصاد والعمل,اقتراح
أيان يجب على الشركات الصغيرة تحديد أهدافها المالية للعام القادم؟,تطبيق,الاقتصاد والعمل,اقتراح
أيان يُفضل القيام بمراجعات دورية لخطة العمل التجارية؟,تطبيق,الاقتصاد والعمل,اقتراح
أيان يجب على رواد الأعمال البدء في وضع استراتيجيات التسويق الرقمي؟,تطبيق,الاقتصاد والعمل,اقتراح
أي من الأنظمة التالية هو الأكثر فعالية في إدارة البيانات الكبيرة؟,تحليل,التكنولوجيا,اقتراح
"أي من التطبيقات التالية هو الأكثر أمانًا لحماية البيانات الشخصية: Signal، ProtonMail، LastPass؟",تحليل,التكنولوجيا,اقتراح
أنى لك أن تجد أفضل الموارد لدراسة الفلسفة الإسلامية؟,معرفة,الثقافة,اقتراح
أنى يُمكنك العثور على أفضل الموارد لبدء دراسة الفلسفة الشرقية؟,معرفة,الثقافة,اقتراح
أنى يمكن للطلاب الوصول إلى مواد الفلسفة الحديثة؟,معرفة,الثقافة,اقتراح
أين تجد أفضل الفرص لتوسيع الأعمال التجارية في السوق العالمية؟,تطبيق,الاقتصاد والعمل,اقتراح
أنى يمكنك العثور على أفضل المصادر لدراسة الفلسفة الحديثة؟,معرفة,الثقافة,اقتراح
اقترح وسيلة للتخفيف من ازدحام المرور في المدينة.,تركيب,السياسة والقانون,اقتراح
اقترح نشاطًا ترفيهيًا لقضاء عطلة نهاية الأسبوع.,تركيب,الترفيه,اقتراح
اقترح موضوعًا للبحث العلمي في مجال الطاقة المتجددة.,تركيب,التكنولوجيا,اقتراح
اقترحْ طريقةً لتحسينِ التعليم.,تركيب,التعليم,اقتراح
اقترحْ نشاطًا لوقتِ الفراغ.,تركيب,الثقافة,اقتراح
اقترحْ نشاطًا للأصدقاء.,تركيب,الثقافة,اقتراح
اقترحْ نشاطًا للمشاركةِ المجتمعية.,تركيب,الثقافة,اقتراح
اقترحْ نشاطًا رياضيًا.,تركيب,الرياضة,اقتراح
اقترحْ نشاطًا رياضيًا جديدًا.,تركيب,الرياضة,اقتراح
اقترحْ نشاطًا لتنميةِ الذكاء.,تركيب,التعليم,اقتراح
اقترحْ نشاطًا لتنميةِ المهارات.,تركيب,التعليم,اقتراح
اقترحْ نشاطًا لتنميةِ المهاراتِ اليدوية.,تركيب,الثقافة,اقتراح
اقترحْ كتابًا للقراءة.,تركيب,الثقافة,اقتراح
اقترحْ كتابًا للتعلم.,تركيب,التعليم,اقتراح
اقترحْ كتابًا للقراءةِ في وقتِ الفراغ.,تركيب,الثقافة,اقتراح
اقترحْ كتابًا للأطفال.,تركيب,الثقافة,اقتراح
اقترحْ فيلمًا للمشاهدة.,تركيب,الترفيه,اقتراح
اقترحْ فيلمًا للعرض.,تركيب,الترفيه,اقتراح
اقترحْ طريقةً لتحسينِ الصحة.,تركيب,الصحة,اقتراح
اقترحْ وسيلةً للاسترخاء.,تركيب,الصحة,اقتراح
اقترحْ طريقةً لتحسينِ النوم.,تركيب,الصحة,اقتراح
اقترحْ طريقةً لتحسينِ الصحةِ النفسية.,تركيب,الصحة,اقتراح
اقترحْ مكانًا للاسترخاءِ النفسي.,تركيب,الصحة,اقتراح
اقترحْ وجهةً للسفر.,تركيب,السفر والسياحة,اقتراح
اقترحْ مشروعًا للتطوع.,تركيب,التطوع,اقتراح
اقترحْ مشروعًا لتنميةِ المجتمع.,تركيب,البيئة والطاقة,اقتراح
اقترحْ مكانًا للسياحة.,تركيب,السفر والسياحة,اقتراح
اقترحْ مكانًا لقضاءِ العطلات.,تركيب,السفر والسياحة,اقتراح
اقترحْ مكانًا للسياحةِ الثقافية.,تركيب,السفر والسياحة,اقتراح
اقترحْ طريقةً للتوفيرِ في المال.,تركيب,الاقتصاد والعمل,اقتراح
اقترحْ وسيلةً للتعلمِ الذاتي.,تركيب,التعليم,اقتراح
اقترحْ طريقةً لتنظيمِ الوقت.,تركيب,التعليم,اقتراح
اقترحْ هوايةً جديدة.,تركيب,الثقافة,اقتراح
اقترحْ طريقةً لتعلمِ اللغات.,تركيب,التعليم,اقتراح
اقترحْ وسيلةً لتحسينِ العلاقات.,تركيب,الثقافة,اقتراح
اقترحْ وسيلةً لتحسينِ العلاقاتِ الاجتماعية.,تركيب,الثقافة,اقتراح
اقترحْ وسيلةً للتعلمِ الإلكتروني.,تركيب,التعليم,اقتراح
اقترحْ مشروعًا للعملِ الحر.,تركيب,الاقتصاد والعمل,اقتراح
اقترحْ طريقةً لتحسينِ المهارات.,تركيب,التعليم,اقتراح
اقترحْ طريقةً لتحسينِ الذات.,تركيب,التعليم,اقتراح
اقترحْ وسيلةً لتحسينِ اللياقةِ البدنية.,تركيب,الصحة,اقتراح
اقترحْ طريقةً لتحسينِ القراءة.,تركيب,التعليم,اقتراح
اقترحْ موضوعًا للكتابة.,تركيب,الثقافة,اقتراح
اقترحْ موضوعًا للنقاش.,تركيب,الثقافة,اقتراح
اقترحْ حلاً لمشكلة البطالة.,تركيب,الاقتصاد والعمل,اقتراح
اقترحْ خطة لتحسين التعليم.,تركيب,التعليم,اقتراح
اقترحْ أفكارًا لمشروع بيئي.,تركيب,البيئة والطاقة,اقتراح
اقترحْ استراتيجيات لتحسين الاقتصاد.,تركيب,الاقتصاد والعمل,اقتراح
اقترحْ برامج لتطوير المهارات المهنية.,تركيب,التعليم,اقتراح
اقترحْ خطة لتحسين التعليم في المدارس.,تركيب,التعليم,اقتراح
اقترحْ أفكارًا لمشروع بيئي.,تركيب,البيئة والطاقة,اقتراح
اقترحْ استراتيجيات لتحسين الاقتصاد المحلي.,تركيب,الاقتصاد والعمل,اقتراح
اقترحْ برامج لتطوير المهارات المهنية.,تركيب,التعليم,اقتراح
